county_state_id,pop_hispan_prop,pop_un_st,state_name,county_name,pop_un_co,state_id,county_id,pop_co,pop_st,state_abbrev,semester,snap_beneficiaries,snap_biannual_chan,sem,pop_un_co_per,pop_un_st_per,year,month,date
12013,.0578722818607212,656000,Florida,Calhoun County,,12,013,14550,19934451,FL,0115,2887,,Jan15,,3.290785384558622,2015,1,January2015
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0117,16856,-2.780020763640556,Jan17,,3.290785384558622,2017,1,January2017
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0715,20038,-2.685639357000635,Jul15,,3.290785384558622,2015,7,July2015
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0119,14774,-3.146715615576245,Jan19,,3.290785384558622,2019,1,January2019
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0118,16285,3.180637394665142,Jan18,,3.290785384558622,2018,1,January2018
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0116,19934,-.519013873640084,Jan16,,3.290785384558622,2016,1,January2016
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0718,15254,-6.330979428922323,Jul18,,3.290785384558622,2018,7,July2018
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0716,17338,-13.02297582020668,Jul16,,3.290785384558622,2016,7,July2016
12015,.0665621995085295,656000,Florida,Charlotte County,,12,015,169642,19934451,FL,0115,20591,,Jan15,,3.290785384558622,2015,1,January2015
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0715,25256,-.7739755628020317,Jul15,,3.290785384558622,2015,7,July2015
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0117,22159,-.6233742936586295,Jan17,,3.290785384558622,2017,1,January2017
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0718,20810,-5.357467709659813,Jul18,,3.290785384558622,2018,7,July2018
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0116,25252,-.0158378207158694,Jan16,,3.290785384558622,2016,1,January2016
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0717,21408,-3.389142109300958,Jul17,,3.290785384558622,2017,7,July2017
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0119,20226,-2.806343104276787,Jan19,,3.290785384558622,2019,1,January2019
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0118,21988,2.709267563527651,Jan18,,3.290785384558622,2018,1,January2018
12017,.0520315403545779,656000,Florida,Citrus County,,12,017,140453,19934451,FL,0716,22298,-11.69808332013306,Jul16,,3.290785384558622,2016,7,July2016
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0716,22519,-11.58965097561934,Jul16,,3.290785384558622,2016,7,July2016
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0715,25343,-2.769998081718783,Jul15,,3.290785384558622,2015,7,July2015
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0717,21681,-3.058350100603624,Jul17,,3.290785384558622,2017,7,July2017
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0119,19880,-4.174298659982645,Jan19,,3.290785384558622,2019,1,January2019
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0718,20746,-6.511648866657649,Jul18,,3.290785384558622,2018,7,July2018
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0116,25471,.505070433650312,Jan16,,3.290785384558622,2016,1,January2016
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0115,26065,,Jan15,,3.290785384558622,2015,1,January2015
12019,.0917626803071102,656000,Florida,Clay County,,12,019,200346,19934451,FL,0117,22365,-.6838669567920452,Jan17,,3.290785384558622,2017,1,January2017
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0119,19448,-9.236010640780323,Jan19,7.179039501946956,3.290785384558622,2019,1,January2019
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0717,24141,-8.577596000908883,Jul17,7.179039501946956,3.290785384558622,2017,7,July2017
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0117,26406,-2.156514006224985,Jan17,7.179039501946956,3.290785384558622,2017,1,January2017
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0715,30468,-2.881550427132473,Jul15,7.179039501946956,3.290785384558622,2015,7,July2015
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0718,21427,-12.61775620896375,Jul18,7.179039501946956,3.290785384558622,2018,7,July2018
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0716,26988,-9.802479863640922,Jul16,7.179039501946956,3.290785384558622,2016,7,July2016
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0115,31372,,Jan15,7.179039501946956,3.290785384558622,2015,1,January2015
12021,.2673083374190385,656000,Florida,Collier County,25000,12,021,348236,19934451,FL,0116,29921,-1.795326243928053,Jan16,7.179039501946956,3.290785384558622,2016,1,January2016
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0715,15599,-3.471534653465347,Jul15,,3.290785384558622,2015,7,July2015
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0118,14628,5.56397488633904,Jan18,,3.290785384558622,2018,1,January2018
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0717,13857,-1.653655074520932,Jul17,,3.290785384558622,2017,7,July2017
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0117,14090,-.3395105389729758,Jan17,,3.290785384558622,2017,1,January2017
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0716,14138,-8.863533810352608,Jul16,,3.290785384558622,2016,7,July2016
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0116,15513,-.5513173921405268,Jan16,,3.290785384558622,2016,1,January2016
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0119,13831,-2.192207057492401,Jan19,,3.290785384558622,2019,1,January2019
12023,.0557348541786404,656000,Florida,Columbia County,,12,023,68198,19934451,FL,0115,16160,,Jan15,,3.290785384558622,2015,1,January2015
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0116,7250,-2.422611036339162,Jan16,,3.290785384558622,2016,1,January2016
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0118,6248,2.611266217769748,Jan18,,3.290785384558622,2018,1,January2018
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0119,5770,-3.704939919893191,Jan19,,3.290785384558622,2019,1,January2019
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0115,7611,,Jan15,,3.290785384558622,2015,1,January2015
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0716,6398,-11.75172413793103,Jul16,,3.290785384558622,2016,7,July2016
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0715,7430,-2.37813690710813,Jul15,,3.290785384558622,2015,7,July2015
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0117,6420,.3438574554548213,Jan17,,3.290785384558622,2017,1,January2017
12027,.3052953273163487,656000,Florida,DeSoto County,,12,027,35134,19934451,FL,0718,5992,-4.097311139564663,Jul18,,3.290785384558622,2018,7,July2018
12029,.0367762620230087,656000,Florida,Dixie County,,12,029,16084,19934451,FL,0717,3477,-3.897180762852404,Jul17,,3.290785384558622,2017,7,July2017
12029,.0367762620230087,656000,Florida,Dixie County,,12,029,16084,19934451,FL,0115,3933,,Jan15,,3.290785384558622,2015,1,January2015
12029,.0367762620230087,656000,Florida,Dixie County,,12,029,16084,19934451,FL,0715,3972,.9916094584286883,Jul15,,3.290785384558622,2015,7,July2015
12029,.0367762620230087,656000,Florida,Dixie County,,12,029,16084,19934451,FL,0117,3618,1.886792452830188,Jan17,,3.290785384558622,2017,1,January2017
12029,.0367762620230087,656000,Florida,Dixie County,,12,029,16084,19934451,FL,0718,3690,-5.723045477772104,Jul18,,3.290785384558622,2018,7,July2018
