,state,county,population,county_name,state_name
1861,36,067,468050.0,Onondaga County, New York
1862,36,069,109450.0,Ontario County, New York
1863,36,071,376242.0,Orange County, New York
1864,36,073,41938.0,Orleans County, New York
1865,36,075,120513.0,Oswego County, New York
1866,36,077,60979.0,Otsego County, New York
1867,36,079,99408.0,Putnam County, New York
1868,36,081,2310011.0,Queens County, New York
1869,36,083,159959.0,Rensselaer County, New York
1870,36,085,473324.0,Richmond County, New York
1871,36,087,322642.0,Rockland County, New York
1872,36,089,111529.0,St. Lawrence County, New York
1873,36,091,224929.0,Saratoga County, New York
1874,36,093,154845.0,Schenectady County, New York
1875,36,095,31667.0,Schoharie County, New York
1876,36,097,18336.0,Schuyler County, New York
1877,36,099,35036.0,Seneca County, New York
1878,36,101,98151.0,Steuben County, New York
1879,36,103,1498130.0,Suffolk County, New York
1880,36,105,75818.0,Sullivan County, New York
1881,36,107,49649.0,Tioga County, New York
1882,36,109,104268.0,Tompkins County, New York
1883,36,111,180505.0,Ulster County, New York
1884,36,113,64911.0,Warren County, New York
1885,36,115,62465.0,Washington County, New York
1886,36,117,91874.0,Wayne County, New York
1887,36,119,969229.0,Westchester County, New York
1888,36,121,41239.0,Wyoming County, New York
1889,36,123,25106.0,Yates County, New York
1890,37,157,91898.0,Rockingham County, North Carolina
1891,37,159,138694.0,Rowan County, North Carolina
1892,37,161,66701.0,Rutherford County, North Carolina
1893,37,163,63713.0,Sampson County, North Carolina
1894,37,165,35711.0,Scotland County, North Carolina
1895,37,167,60610.0,Stanly County, North Carolina
1896,37,169,46453.0,Stokes County, North Carolina
1897,37,171,72767.0,Surry County, North Carolina
1898,37,173,14234.0,Swain County, North Carolina
1899,37,175,33062.0,Transylvania County, North Carolina
1900,37,177,4128.0,Tyrrell County, North Carolina
1901,37,179,217614.0,Union County, North Carolina
1902,37,181,44508.0,Vance County, North Carolina
1903,37,183,998576.0,Wake County, North Carolina
1904,37,185,20324.0,Warren County, North Carolina
1905,37,187,12503.0,Washington County, North Carolina
1906,37,189,52745.0,Watauga County, North Carolina
1907,37,191,124447.0,Wayne County, North Carolina
1908,37,193,68888.0,Wilkes County, North Carolina
1909,37,195,81617.0,Wilson County, North Carolina
1910,37,197,37819.0,Yadkin County, North Carolina
1911,37,199,17599.0,Yancey County, North Carolina
1912,37,001,156372.0,Alamance County, North Carolina
1913,37,003,37211.0,Alexander County, North Carolina
1914,37,005,10868.0,Alleghany County, North Carolina
1915,37,007,25883.0,Anson County, North Carolina
1916,37,009,26992.0,Ashe County, North Carolina
1917,37,011,17633.0,Avery County, North Carolina
1918,37,013,47513.0,Beaufort County, North Carolina
1919,37,015,20324.0,Bertie County, North Carolina
